ID;ФИО;ДатаРождения;Город;Телефон;Email;Образование;Комментарий
107;Козлов Тарас Петрович;1993-11-27;Ростов-на-Дону;+79184076218;app55441@list.ru;Магистратура;Готов к переезду
108;Ильин Семён Маркович;1989-04-12;Омск;+79621731493;learn5548@bk.ru;Магистратура;Опыт работы 2 года
109;Григорьев Виктор Никитич;2006-11-07;Тольятти;+79876013734;job12160@list.ru;Среднее специальное;Маркетолог
110;Алексеев Вадим Антонович;1974-02-20;Самара;+79871754304;cloud60178@bk.ru;Среднее специальное;Менеджер по продажам
111;Дмитриев Степан Романович;2001-11-19;Москва;+79034998574;novikov_timur@mail.ru;Общее среднее;Автомеханик
112;Кузьмин Георгий Константинович;1988-07-26;Волгоград;+79895825349;hard4797@bk.ru;Среднее;Готов к переезду
113;Зайцев Роберт Максимович;1991-12-30;Омск;+79835248425;user57440@list.ru;Профессиональное;Готов к переезду
114;Фёдоров Денис Тимурович;1979-10-27;Пермь;+79928864217;kirill.nikitin@mail.ru;Общее среднее;Разработчик ПО
115;Сергеев Глеб Алексеевич;2001-02-26;Санкт-Петербург;+79816656952;project76504@list.ru;Профессиональное;Исследовательская деятельность
116;Григорьев Устин Саввич;1978-01-14;Пермь;+79925074614;info56451@bk.ru;Неоконченное высшее;Бариста
117;Кузьмин Роберт Константинович;1987-10-17;Санкт-Петербург;+79118328437;career5543@gmail.com;Общее среднее;Бухгалтер
118;Воробьёв Николай Константинович;1998-02-06;Нижний Новгород;+79608426501;work32078@list.ru;Общее среднее;Менеджер по продажам
119;Попов Алексей Иванович;1991-08-07;Омск;+79834677460;kirill49913@rambler.ru;Среднее специальное;Опыт работы 2 года
120;Зайцев Демид Германович;1998-01-10;Санкт-Петербург;+79815464881;core17838@gmail.com;Магистратура;Научный сотрудник
121;Фёдоров Артём Маркелович;1984-11-20;Екатеринбург;+79086367724;mail2987@bk.ru;Неоконченное высшее;Юрист
122;Филиппов Даниил Михайлович;2001-10-17;Екатеринбург;+79221468205;pyotr.grigorev@yandex.ru;Среднее специальное;Научный сотрудник
123;Петров Матвей Фёдорович;1990-04-06;Красноярск;+79236806500;learn23543@rambler.ru;Неоконченное высшее;Курьер
124;Степанов Антон Устинович;1977-03-25;Нижний Новгород;+79614308902;lebedev.viktor@yandex.ru;Аспирантура;Бариста
125;Макаров Александр Викторович;1988-02-05;Волгоград;+79175924379;random76192@yandex.ru;Аспирантура;Менеджер по продажам
126;Лебедев Владимир Устинович;1993-06-04;Пермь;+79087519065;sys36868@bk.ru;Высшее;Исследовательская деятельность
127;Васильев Матвей Кириллович;2005-01-02;Казань;+79279178027;pasha71523@yandex.ru;Аспирантура;Автомеханик
128;Павлов Иван Борисович;1987-03-06;Ижевск;+79632567535;dmitriev.stepan@list.ru;Магистратура;Юрист
129;Петров Виктор Тимурович;1971-09-15;Тюмень;+79821437820;pasha7911@mail.ru;Неоконченное высшее;Исследовательская деятельность
130;Соколов Руслан Петрович;2005-04-12;Тюмень;+79633317209;ustin.filippov@bk.ru;Профессиональное;Исследовательская деятельность
131;Петров Алексей Игоревич;1997-01-17;Челябинск;+79675885405;andrey9520@rambler.ru;Высшее;Курьер
132;Калинин Лев Вадимович;1982-07-11;Пермь;+79082294572;egorovruslan@bk.ru;Общее среднее;Автомеханик
133;Воробьёв Егор Львович;2003-07-30;Санкт-Петербург;+79815221801;timur.medvedev@list.ru;Профессиональное;Ищет работу по специальности
134;Филиппов Дмитрий Робертович;1992-07-19;Самара;+79674864632;user16069@gmail.com;Профессиональное;Финансовый аналитик
135;Семёнов Иван Антонович;1983-04-14;Нижний Новгород;+79309413905;konstantin.stepanov@list.ru;Общее среднее;Маркетолог
136;Степанов Максим Константинович;2006-10-07;Уфа;+79376674900;max36070@mail.ru;Профессиональное;Сварщик
137;Дмитриев Лев Антонович;1986-09-20;Волгоград;+79279065288;contact74726@bk.ru;Среднее;Исследовательская деятельность
138;Борисов Павел Борисович;1998-02-13;Самара;+79608443847;maksim.sidorov@list.ru;Неоконченное высшее;Исследовательская деятельность
139;Петров Ян Платонович;2004-02-20;Воронеж;+79603876028;grigorev.pavel@list.ru;Неоконченное высшее;Научный сотрудник
140;Михайлов Фёдор Михайлович;1984-10-15;Омск;+79233208227;mail19148@bk.ru;Аспирантура;Логист
141;Степанов Ян Кириллович;1978-08-24;Омск;+79239809427;box61981@bk.ru;Среднее специальное;Студент последнего курса
142;Волков Михаил Артурович;1989-09-12;Пермь;+79221311119;learn42831@rambler.ru;Магистратура;Финансовый аналитик
143;Степанов Герман Даниилович;1974-10-16;Уфа;+79373558967;pasha65455@rambler.ru;Общее среднее;Дизайнер интерфейсов
144;Новиков Денис Антонович;1974-02-02;Москва;+79253737523;career52152@inbox.ru;Неоконченное высшее;Опыт работы 2 года
145;Михайлов Дмитрий Дмитриевич;2005-08-12;Казань;+79171263414;contact70551@gmail.com;Магистратура;Разработчик ПО
146;Соловьёв Артём Никитич;2004-05-26;Нижний Новгород;+79306597019;cloud22518@rambler.ru;Высшее;Ищет работу по специальности
147;Медведев Никита Никитич;2005-08-28;Волгоград;+79196981009;vasilev_semyon@inbox.ru;Профессиональное;Финансовый аналитик
148;Захаров Константин Михайлович;1974-02-13;Ижевск;+79634720873;admin60125@list.ru;Высшее;Ищет работу по специальности
149;Козлов Фёдор Иванович;1976-08-21;Санкт-Петербург;+79315605302;yan.petrov@list.ru;Аспирантура;Исследовательская деятельность
150;Волков Тимофей Евгеньевич;1973-08-02;Краснодар;+79525787896;random86954@inbox.ru;Магистратура;Исследовательская деятельность
151;Захаров Николай Янович;1982-08-25;Тюмень;+79225341985;pasha8336@rambler.ru;Среднее;Опыт работы 2 года
152;Попов Роберт Кириллович;1982-03-19;Пермь;+79517149902;tech19823@list.ru;Среднее специальное;Менеджер по продажам
153;Соколов Роберт Викторович;1981-03-14;Уфа;+79606950342;konstantin.fyodorov@bk.ru;Аспирантура;Дизайнер интерфейсов
154;Кузнецов Ян Артурович;1989-08-31;Челябинск;+79512227841;alex21533@rambler.ru;Общее среднее;Исследовательская деятельность
155;Соловьёв Кирилл Викторович;1977-09-11;Волгоград;+79271209426;info29438@yandex.ru;Аспирантура;Дизайнер интерфейсов
156;Павлов Даниил Иванович;2004-05-14;Казань;+79675487652;data76774@mail.ru;Общее среднее;Ищет работу по специальности
157;Иванов Роберт Тимурович;1982-12-29;Тольятти;+79278448478;temp9454@list.ru;Среднее;Финансовый аналитик
158;Егоров Руслан Кириллович;1979-10-02;Ростов-на-Дону;+79188973114;pavlovartur@gmail.com;Аспирантура;Автомеханик
159;Зайцев Степан Янович;2000-03-07;Пермь;+79519701928;kuzmin.robert@bk.ru;Среднее специальное;Ищет работу по специальности
160;Фёдоров Устин Михайлович;1993-03-16;Челябинск;+79829698662;client55876@list.ru;Общее среднее;Опыт работы 2 года
161;Лебедев Николай Павлович;1979-01-09;Красноярск;+79536505304;ivan37932@gmail.com;Общее среднее;Курьер
162;Фёдоров Дмитрий Дмитриевич;1975-06-13;Пермь;+79925432845;cloud50555@bk.ru;Профессиональное;Логист
163;Макаров Савва Робертович;1974-05-30;Екатеринбург;+79677336103;max13248@yandex.ru;Аспирантура;Маркетолог
164;Семёнов Марк Филиппович;2001-08-09;Екатеринбург;+79088157956;data80351@inbox.ru;Аспирантура;Маркетолог
165;Козлов Илья Семёнович;1981-01-16;Челябинск;+79829896116;job18211@rambler.ru;Магистратура;Опыт работы 2 года
166;Алексеев Кирилл Кириллович;2006-08-04;Екатеринбург;+79221090927;lebedev.kirill@mail.ru;Среднее специальное;Готов к переезду
167;Кузьмин Лев Георгиевич;1993-12-24;Краснодар;+79608725831;work35400@gmail.com;Магистратура;Системный администратор
168;Калинин Олег Георгиевич;1993-09-03;Новосибирск;+79538600097;data48277@rambler.ru;Аспирантура;Студент последнего курса
169;Филиппов Фёдор Владимирович;2005-03-16;Москва;+79258907252;temp3068@bk.ru;Профессиональное;Курьер
170;Макаров Константин Даниилович;1975-01-08;Тольятти;+79625403352;user21159@bk.ru;Высшее;Фрилансер
171;Никитин Кирилл Иванович;1983-03-25;Новосибирск;+79935574490;web52944@gmail.com;Общее среднее;Юрист
172;Борисов Тимофей Маркелович;1996-10-12;Москва;+79254399906;account66240@mail.ru;Высшее;Опыт работы 2 года
173;Кузнецов Георгий Борисович;1976-02-27;Нижний Новгород;+79613342538;test62849@mail.ru;Среднее;Опыт работы 2 года
174;Ильин Даниил Кириллович;1989-05-19;Волгоград;+79896210858;contact13979@yandex.ru;Высшее;Исследовательская деятельность
175;Волков Михаил Максимович;1987-03-19;Красноярск;+79334426671;andrey62553@yandex.ru;Высшее;Финансовый аналитик
176;Петров Маркел Сергеевич;1985-06-25;Челябинск;+79127541758;nikitin_stepan@mail.ru;Профессиональное;Автомеханик
177;Козлов Борис Ильич;1988-05-01;Краснодар;+79894623908;sys53870@list.ru;Профессиональное;Системный администратор
178;Медведев Виктор Георгиевич;1982-04-27;Красноярск;+79936765863;box5880@rambler.ru;Высшее;Фрилансер
179;Кузьмин Артур Тимурович;1988-09-24;Ростов-на-Дону;+79181115062;account42391@list.ru;Общее среднее;Курьер
180;Романов Николай Иванович;2001-10-14;Воронеж;+79305775489;dev30695@gmail.com;Высшее;Бариста
181;Филиппов Антон Дмитриевич;1993-10-27;Саратов;+79601774532;soft9786@mail.ru;Неоконченное высшее;Опыт работы 2 года
182;Филиппов Иван Борисович;1971-11-02;Волгоград;+79371836174;filippov_fyodor@mail.ru;Среднее;Автомеханик
183;Степанов Матвей Глебович;2000-07-10;Уфа;+79175311605;mail81984@yandex.ru;Среднее специальное;Курьер
184;Макаров Николай Никитич;2006-06-23;Ростов-на-Дону;+79508948157;ilindaniil@yandex.ru;Неоконченное высшее;Научный сотрудник
185;Новиков Андрей Демидович;1982-06-23;Воронеж;+79911912004;learn64164@gmail.com;Магистратура;Научный сотрудник
186;Смирнов Демид Артурович;1995-06-29;Москва;+79153970768;ivan33641@gmail.com;Среднее;Студент последнего курса
187;Григорьев Руслан Русланович;1999-06-13;Нижний Новгород;+79607083003;nikolaevgerman@inbox.ru;Высшее;Дизайнер интерфейсов
188;Степанов Николай Тимофеевич;1991-08-02;Ростов-на-Дону;+79891954693;study2957@yandex.ru;Аспирантура;Сварщик
189;Павлов Даниил Игоревич;1988-03-24;Красноярск;+79637628042;admin12098@gmail.com;Аспирантура;Бухгалтер
190;Сидоров Владимир Сергеевич;2004-03-30;Челябинск;+79121765881;career43155@rambler.ru;Магистратура;Научный сотрудник
191;Григорьев Семён Филиппович;1988-01-31;Казань;+79677890720;romanov_gleb@gmail.com;Среднее;Курьер
192;Макаров Тарас Петрович;2004-07-10;Казань;+79673587447;tech72137@yandex.ru;Профессиональное;Курьер
193;Попов Иван Александрович;1972-11-27;Самара;+79607033779;soft74167@yandex.ru;Неоконченное высшее;Ищет работу по специальности
194;Борисов Артём Денисович;1976-08-04;Екатеринбург;+79927415342;tech87133@bk.ru;Среднее;Бариста
195;Морозов Иван Георгиевич;2000-09-26;Тольятти;+79274888585;user50680@gmail.com;Высшее;Бариста
196;Григорьев Владимир Янович;1998-10-09;Саратов;+79179043104;roma1362@yandex.ru;Магистратура;Автомеханик
197;Павлов Артур Тарасович;1997-02-28;Ростов-на-Дону;+79197165982;petrov_markel@inbox.ru;Профессиональное;Бариста
198;Воробьёв Ян Иванович;1971-05-08;Красноярск;+79639568210;nikita32040@list.ru;Неоконченное высшее;Студент последнего курса
199;Романов Савва Тимурович;1972-02-15;Ижевск;+79227159328;user51900@rambler.ru;Общее среднее;Системный администратор
200;Смирнов Константин Денисович;1975-06-27;Саратов;+79872266841;test26985@gmail.com;Среднее;Бариста
201;Медведев Тимур Дмитриевич;1983-09-28;Ростов-на-Дону;+79502966554;learn6739@bk.ru;Магистратура;Сварщик
202;Романов Алексей Владимирович;1971-06-16;Саратов;+79372273987;project82396@yandex.ru;Среднее специальное;Системный администратор
203;Борисов Роберт Михайлович;1993-01-30;Ижевск;+79227292976;vasilev_matvey@inbox.ru;Неоконченное высшее;Бухгалтер
204;Козлов Борис Юрьевич;1988-05-29;Тюмень;+79324587375;dev3097@rambler.ru;Профессиональное;Разработчик ПО
205;Николаев Савва Янович;1976-02-21;Самара;+79677475697;dev34647@mail.ru;Среднее специальное;Юрист
206;Павлов Антон Демидович;2001-06-14;Тюмень;+79229837838;semyonovivan@inbox.ru;Магистратура;Дизайнер интерфейсов
207;Соколов Георгий Георгиевич;1999-10-03;Ижевск;+79193455224;dima65652@rambler.ru;Аспирантура;Фрилансер
208;Егоров Степан Саввич;1982-04-05;Ижевск;+79194488967;ivan36236@gmail.com;Аспирантура;Дизайнер интерфейсов
209;Михайлов Маркел Петрович;1986-07-13;Казань;+79178911731;study55547@mail.ru;Профессиональное;Готов к переезду
210;Борисов Артём Михайлович;1987-10-31;Новосибирск;+79831987578;client33088@inbox.ru;Магистратура;Фрилансер
211;Соловьёв Артём Тимурович;1998-05-09;Пермь;+79827572899;learn32292@yandex.ru;Аспирантура;Дизайнер интерфейсов
212;Захаров Георгий Филиппович;2004-07-11;Самара;+79623004545;core69873@bk.ru;Среднее специальное;Дизайнер интерфейсов
213;Новиков Юрий Егорович;1998-10-06;Пермь;+79929816005;client19237@yandex.ru;Среднее;Готов к переезду
214;Новиков Роман Дмитриевич;1983-11-26;Москва;+79269958606;sys81174@mail.ru;Аспирантура;Финансовый аналитик
215;Алексеев Юрий Николаевич;1974-05-29;Москва;+79772281440;soft42839@gmail.com;Магистратура;Маркетолог
216;Соколов Тимур Владимирович;2000-11-27;Краснодар;+79188797474;nikita60461@rambler.ru;Профессиональное;Бариста
217;Зайцев Лев Сергеевич;1985-11-07;Пермь;+79828173274;hard73415@rambler.ru;Магистратура;Опыт работы 2 года
218;Семёнов Лев Алексеевич;1999-06-14;Нижний Новгород;+79918108043;test27139@list.ru;Магистратура;Фрилансер
219;Иванов Пётр Тимурович;1972-10-28;Краснодар;+79524952899;project31058@rambler.ru;Профессиональное;Студент последнего курса
220;Егоров Артём Иванович;1989-06-08;Пермь;+79631446287;hard39167@bk.ru;Высшее;Готов к переезду
221;Орлов Виктор Денисович;2004-10-06;Самара;+79621357482;soft61134@gmail.com;Высшее;Курьер
222;Зайцев Николай Егорович;1997-07-16;Санкт-Петербург;+79048032750;mail40725@mail.ru;Профессиональное;Системный администратор
223;Орлов Игорь Игоревич;1994-03-13;Саратов;+79679634876;core77958@gmail.com;Профессиональное;Маркетолог
224;Воробьёв Игорь Саввич;1970-04-11;Тольятти;+79376640355;admin44174@inbox.ru;Среднее;Ищет работу по специальности
225;Николаев Михаил Робертович;1973-09-30;Волгоград;+79606300372;kirill67782@rambler.ru;Общее среднее;Ищет работу по специальности
